 "players_name" , "team_name" ,
 "Nattawut Sombatyotha" , บุรีรัมย์ ยูไนเต็ด ,
 "Nattawut Sombatyotha" , "Buriram United" ,
 "Alan Francis Mulcahy" , "Dandenong Thunder SC" ,
 "Cristian Mario González Aidinovich" , "River Plate" ,
 "Raúl Moisés Leguías Ávila" , "Cerro Largo" ,
 "Diego Manuel Rodríguez Da Luz" , "River Plate" ,
 "David Goldar Gómez" , "Celta Vigo B" ,
 "Thibault Bourgeois" , "CA Bastia" ,
 "Álvaro Semedo Vaz" , "Fátima" ,
 "Samuel Araújo Fernández" , "Celta Vigo B" ,
 "Martín Ricardo Ligüera López" , "Fénix" ,
 "Patrick Bezerra do Nascimento" , "Comercial" ,
 "Joshua Emmanuel Ábrego Mortera" , "Tijuana" ,
 "Akarawin Sawasdee" , "Chonburi F.C." ,
 "Akarawin Sawasdee" , ชลบุรี เอฟซี ,
 "Jonathan Alexander Ramírez Silva" , "River Plate" ,
 "Paul Joseph Arriola Hendricks" , "Tijuana" ,
 "Walter José del Río" , "San Fernando" ,
 "Alan Kearney" , "Dandenong Thunder SC" ,
